Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
203178,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
419179,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
706984,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
919127,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1211142,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1419345,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
1715086,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
1919528,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2219302,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2419507,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
2722892,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
2787856,00000151,false,Rx,0,8,10,0B,76,60,41,41,55,58,
2788516,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
2789538,00000151,false,Rx,0,8,21,20,20,41,55,54,00,00,
2790170,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
2794818,00000151,false,Rx,0,8,10,0B,76,60,44,41,46,20,
2794838,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
2794844,00000151,false,Rx,0,8,21,20,20,4F,4E,20,00,00,
2795228,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
2797151,00000151,false,Rx,0,8,10,0B,76,60,48,53,50,45,
2797815,00000551,false,Rx,0,8,30,01,00,A3,A3,A3,A3,A3,
2798468,00000151,false,Rx,0,8,21,45,44,20,30,20,00,00,
2799314,00000551,false,Rx,0,8,74,A3,A3,A3,A3,A3,A3,A3,
2919682,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3242813,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3419973,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
3746880,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
3920092,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4250713,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4420175,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
4754783,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
4920352,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5258771,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5420454,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
5764541,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
5920649,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6266697,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6420819,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
6770731,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
6920900,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7274427,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7421022,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
7778604,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
7921158,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8282317,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8421243,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
8786446,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
8921392,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9290360,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9421434,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
9794368,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
9921776,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10298232,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10421746,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
10802313,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
10922064,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
11306229,000003CF,false,Rx,0,8,69,00,A3,A3,A3,A3,A3,A3,
11422168,000003AF,false,Rx,0,8,B9,00,00,00,00,00,00,00,
